model,num_frames,params_M,flops_GF,latency_avg_ms,latency_p50_ms,latency_p95_ms,peak_mem_MB,SpeedUp
MatrixDiT-G,8,233.169936,189.096808448,7.9611086030490705,7.94074049917981,8.044276968576014,1380.85302734375,0.6412085536118141
MatrixDiT-G,16,233.178128,368.75249664,8.008449985645711,7.983338029589504,8.059256011620164,1400.66552734375,0.6641061928367074
MatrixDiT-G,32,233.194512,729.573822464,8.232662735972553,8.211270498577505,8.303871029056609,1441.79052734375,1.876661286310678
MatrixDiT-G,64,233.22728,1457.256271872,10.854425001889467,10.82208298612386,10.849200072698295,1530.04052734375,3.8909391125502335
MatrixDiT-G,128,233.292816,2936.780361728,20.571515099145472,20.52509249188006,20.61174693517387,1730.54052734375,6.465961436778475
MatrixDiT-G,8,231.842832,167.202541568,7.682373814750463,7.649334438610822,7.744374917820096,1371.25927734375,0.664473124531688
MatrixDiT-G,16,231.851024,324.661972992,7.727093189023435,7.716730993706733,7.767678005620837,1386.32177734375,0.6882874452770142
MatrixDiT-G,32,231.867408,640.184815616,8.040313785895705,8.022930473089218,8.140055928379297,1416.44677734375,1.9215567764226367
MatrixDiT-G,64,231.900176,1273.646419968,9.100680958945304,9.065833000931889,9.112942032516004,1476.69677734375,4.640741387882851
MatrixDiT-G,128,231.965712,2550.233305088,17.08701529307291,17.06170802935958,17.074504983611405,1597.19677734375,7.784544055573297
MatrixDiT-G,8,231.554064,162.477658112,7.857690521050245,7.82545399852097,7.974551059305668,1370.16943359375,0.6496477455853498
MatrixDiT-G,16,231.562256,315.224788992,7.990204463712871,7.972910534590483,8.051919052377343,1385.23193359375,0.6656226701887158
MatrixDiT-G,32,231.57864,621.360779264,8.20748262340203,8.118173980619758,8.2422950072214,1415.35693359375,1.8824187815883786
MatrixDiT-G,64,231.611408,1236.199673856,9.193053301423788,9.12724551744759,9.172584977932274,1475.60693359375,4.594110944353366
MatrixDiT-G,128,231.676944,2476.145119232,16.8884119624272,16.86186296865344,16.889696940779686,1596.10693359375,7.8760882682816735
MatrixDiT-G,8,232.4388,177.073836032,8.100730692967772,8.005705021787435,8.114040945656598,1376.01318359375,0.6301568495468033
MatrixDiT-G,16,232.446992,344.618471424,8.092336733825505,8.064836030825973,8.147006970830262,1393.41943359375,0.6572219379180667
MatrixDiT-G,32,232.463376,680.953450496,8.26739814132452,8.254799002315849,8.301057037897408,1428.41943359375,1.8687765093380402
MatrixDiT-G,64,232.496144,1358.606241792,10.2703999215737,10.236321482807398,10.276876972056924,1499.16943359375,4.112196906313216
MatrixDiT-G,128,232.56168,2733.843156992,18.985956250689924,18.951074976939708,18.998765968717635,1643.66943359375,7.0059480581783795
MatrixDiT-G,8,231.111696,155.179569152,7.951653001364321,7.933792483527213,8.044007001444697,1368.38818359375,0.641971038176818
MatrixDiT-G,16,231.119888,300.527947776,7.993454688694328,7.889644475653768,8.130754926241934,1383.45068359375,0.6653520208243137
MatrixDiT-G,32,231.136272,591.564443648,8.248181974049658,8.165531035047024,8.432858972810209,1413.57568359375,1.873130283553468
MatrixDiT-G,64,231.16904,1174.996389888,8.714915905147791,8.689121983479708,8.751443936489522,1473.82568359375,4.846163433332482
MatrixDiT-G,128,231.234576,2347.296100352,15.691196520347148,15.652078029233962,15.762051101773976,1594.32568359375,8.477022332535158
MatrixDiT-H,8,269.266704,199.7616128,9.778087639715524,9.743657486978918,9.858985897153616,1587.08740234375,0.522058210214219
MatrixDiT-H,16,269.274896,389.983014912,9.72032893449068,9.677583002485337,9.81003395281732,1602.14990234375,0.5471482772171259
MatrixDiT-H,32,269.29128,771.63849728,9.901443887501957,9.889226988889275,9.944945923052728,1632.27490234375,1.5603703475362631
MatrixDiT-H,64,269.324048,1539.800174592,11.058931939769536,10.974689503200352,11.038091033697128,1692.52490234375,3.8189860480301507
MatrixDiT-H,128,269.389584,3095.52637952,21.06175719527528,20.968656986951828,20.998035091906782,1813.02490234375,6.3154570672298656
MatrixDiT-H,8,270.15144,214.35779072,10.000650414731354,9.961016941815616,10.070057935081422,1593.68505859375,0.5104398934881469
MatrixDiT-H,16,270.159632,419.376697344,9.92988608777523,9.89500997820869,10.030218050815163,1612.79052734375,0.535601434243839
MatrixDiT-H,32,270.176016,831.231168512,10.08086199639365,10.04157104762271,10.23093203548342,1651.02490234375,1.5325990421631925
MatrixDiT-H,64,270.208784,1662.206742528,12.111691068857908,12.06957147223875,12.10935297422111,1727.58740234375,3.487036330763792
MatrixDiT-H,128,270.27432,3353.22441728,23.02505610976368,22.97971793450415,23.060292936861515,1881.08740234375,5.7769511046175674
MatrixDiT-H,8,268.824336,192.46352384,9.63374205166474,9.59051650715992,9.7442539408803,1585.30615234375,0.5298803834617464
MatrixDiT-H,16,268.832528,375.286173696,9.6666723000817,9.58512199576944,9.659053990617394,1600.36865234375,0.5501853239035946
MatrixDiT-H,32,268.848912,741.842161664,9.856487966608256,9.826892521232368,9.903583908453584,1630.49365234375,1.5674872725653775
MatrixDiT-H,64,268.88168,1478.596890624,10.604401130694896,10.574224987067282,10.630517033860087,1690.74365234375,3.9826772170893276
MatrixDiT-H,128,268.947216,2966.67736064,19.882567587774247,19.852957513649017,19.90596204996109,1811.24365234375,6.690012380944762
MatrixDiT-H,8,269.462544,202.98205184,9.681907228659838,9.64815350016579,9.813267970457671,1587.84912109375,0.5272443550581569
MatrixDiT-H,16,269.470736,396.447485952,9.907373357564213,9.877418517135084,9.993463987484574,1602.91162109375,0.5368184925048523
MatrixDiT-H,32,269.48712,784.6618112,9.965133238583803,9.928676998242736,10.097938938997686,1633.03662109375,1.5503976785811553
MatrixDiT-H,64,269.519888,1566.224289792,11.293823614250869,11.251770018134266,11.308479006402194,1693.28662109375,3.739557852736687
MatrixDiT-H,128,269.585424,3149.88455936,21.60896689631045,21.568764466792345,21.65964897722006,1813.78662109375,6.155529043357084
MatrixDiT-H,8,270.34728,217.57822976,9.898794209584594,9.83715197071433,10.0815569749102,1594.97412109375,0.5156921968905025
MatrixDiT-H,16,270.355472,425.841168384,9.92152942577377,9.887968481052669,10.057901032269,1614.72412109375,0.5360525582552083
MatrixDiT-H,32,270.371856,844.254482432,10.01395033672452,9.985215961933136,10.10790199507028,1654.59912109375,1.5428396307491354
MatrixDiT-H,64,270.404624,1688.630857728,12.44587721535936,12.402728549204769,12.46728701516986,1735.84912109375,3.393405386642762
MatrixDiT-H,128,270.47016,3407.58259712,23.78504987573251,23.75331800431013,23.79008405841887,1904.34912109375,5.592362598444384
MatrixDiT-H,8,269.020176,195.68396288,9.830817489419132,9.800260013435036,9.890004992485046,1586.06787109375,0.5192580309828623
MatrixDiT-H,16,269.028368,381.750644736,9.735060597304257,9.705694916192442,9.858492994681,1601.13037109375,0.5463203004574102
MatrixDiT-H,32,269.044752,754.865475584,9.942999433260413,9.915656060911717,10.0573250092566,1631.25537109375,1.5538489711837435
MatrixDiT-H,64,269.07752,1505.021005824,10.88462331565097,10.84033091319725,10.931850993074477,1691.50537109375,3.880144085773446
MatrixDiT-H,128,269.143056,3021.03554048,20.455834842287004,20.420252985786647,20.492070936597884,1812.00537109375,6.50252724235964
MatrixDiT-H,8,269.27976,199.976308736,9.900286719202995,9.825640474446118,10.17393299844116,1587.13427734375,0.515614454135588
MatrixDiT-H,16,269.287952,390.413979648,9.912085577379912,9.882726473733785,9.960773983038962,1602.19677734375,0.5365632882173117
MatrixDiT-H,32,269.304336,772.506718208,10.068010489922017,10.03927254350856,10.13661501929164,1632.32177734375,1.5345553578154751
MatrixDiT-H,64,269.337104,1541.561782272,11.204183297231792,11.1694959923625,11.244546039961278,1692.57177734375,3.769476602058944
MatrixDiT-H,128,269.40264,3099.150258176,21.22275843983516,21.185608522500843,21.26630709972233,1813.07177734375,6.267546403275835
MatrixDiT-H,8,270.164496,214.572486656,10.051569961942732,10.014004074037077,10.24213805794716,1593.76708984375,0.5078540916329691
MatrixDiT-H,16,270.172688,419.80766208,10.062386943027375,10.0118505069986,10.243306052871048,1612.91552734375,0.5285486694760559
MatrixDiT-H,32,270.189072,832.09938944,10.147963855415584,10.11634198948741,10.229298030026255,1651.25927734375,1.5224649653838884
MatrixDiT-H,64,270.22184,1663.968350208,12.33525650575757,12.29311799397692,12.372166034765542,1728.13427734375,3.423836931512684
MatrixDiT-H,128,270.287376,3356.848295936,23.42353464802727,23.382520012091845,23.49114790558815,1882.63427734375,5.678674261844731
MatrixDiT-H,8,268.837392,192.678219776,9.785832262132317,9.710905491374431,9.82020900119096,1585.35302734375,0.5216450472241542
MatrixDiT-H,16,268.845584,375.717138432,9.782723996322602,9.756338491570204,9.896557894535364,1600.41552734375,0.5436585180660934
MatrixDiT-H,32,268.861968,742.710382592,10.036002667620778,10.014337487518787,10.118152014911177,1630.54052734375,1.539449515064241
MatrixDiT-H,64,268.894736,1480.358498304,10.763512223493308,10.729195491876451,10.784526006318629,1690.79052734375,3.923803485995189
MatrixDiT-H,128,268.960272,2970.301239296,20.094263213686645,20.05154592916369,20.15847503207624,1811.29052734375,6.619532247222757
MatrixDiT-H,8,269.67144,206.417186816,9.766775981988758,9.66030702693388,9.860076941549778,1588.66943359375,0.52266284615532
MatrixDiT-H,16,269.679632,403.342921728,9.846074616070837,9.75665549049154,9.950132924132047,1603.73193359375,0.5401605652885795
MatrixDiT-H,32,269.696016,798.553346048,10.035612378269434,9.94911399902776,10.14636701438576,1633.85693359375,1.5395093849286814
MatrixDiT-H,64,269.728784,1594.410012672,11.49515952449292,11.455781059339644,11.514185927808285,1694.10693359375,3.674060085386933
MatrixDiT-H,128,269.79432,3207.866617856,22.001216823700812,21.950291469693184,22.08155405241996,1829.60693359375,6.04578484876758
MatrixDiT-H,8,270.556176,221.013364736,9.880359016824514,9.77726693963632,9.901567013002932,1596.35693359375,0.5166543972557277
MatrixDiT-H,16,270.564368,432.73660416,9.811635937076062,9.78388695511967,9.934551897458732,1616.79443359375,0.5420565198911463
MatrixDiT-H,32,270.580752,858.14601728,10.114057746250182,10.031369514763355,10.187265928834677,1658.41943359375,1.5275688380937258
MatrixDiT-H,64,270.61352,1716.816580608,12.631790549494326,12.585636926814914,12.699711951427162,1744.66943359375,3.343461611290378
MatrixDiT-H,128,270.679056,3465.564655616,24.170870347879827,24.122045491822064,24.229670991189774,1929.16943359375,5.503096140633937
MatrixDiT-H,8,269.229072,199.119097856,9.780457667075098,9.745586023200303,9.904878097586334,1586.88818359375,0.5219317036351186
MatrixDiT-H,16,269.237264,388.646080512,9.687043488956988,9.645705460570753,9.81704192236066,1601.95068359375,0.5490283218562282
